full_name,plate,well,diploid?
EVO1D_IRAs_R1_T19_Plate1-A1,EVO1D_IRAs_R1_T19_Plate1,A1,?
EVO1D_IRAs_R1_T19_Plate1-A2,EVO1D_IRAs_R1_T19_Plate1,A2,?
EVO1D_IRAs_R1_T19_Plate1-A3,EVO1D_IRAs_R1_T19_Plate1,A3,?
EVO1D_IRAs_R1_T19_Plate1-A4,EVO1D_IRAs_R1_T19_Plate1,A4,?
EVO1D_IRAs_R1_T19_Plate1-A5,EVO1D_IRAs_R1_T19_Plate1,A5,?
EVO1D_IRAs_R1_T19_Plate1-A6,EVO1D_IRAs_R1_T19_Plate1,A6,?
EVO1D_IRAs_R1_T19_Plate1-A7,EVO1D_IRAs_R1_T19_Plate1,A7,?
EVO1D_IRAs_R1_T19_Plate1-A8,EVO1D_IRAs_R1_T19_Plate1,A8,?
EVO1D_IRAs_R1_T19_Plate1-A9,EVO1D_IRAs_R1_T19_Plate1,A9,?
EVO1D_IRAs_R1_T19_Plate1-A10,EVO1D_IRAs_R1_T19_Plate1,A10,?
EVO1D_IRAs_R1_T19_Plate1-A11,EVO1D_IRAs_R1_T19_Plate1,A11,?
EVO1D_IRAs_R1_T19_Plate1-A12,EVO1D_IRAs_R1_T19_Plate1,A12,?
EVO1D_IRAs_R1_T19_Plate1-B1,EVO1D_IRAs_R1_T19_Plate1,B1,?
EVO1D_IRAs_R1_T19_Plate1-B2,EVO1D_IRAs_R1_T19_Plate1,B2,?
EVO1D_IRAs_R1_T19_Plate1-B3,EVO1D_IRAs_R1_T19_Plate1,B3,?
EVO1D_IRAs_R1_T19_Plate1-B4,EVO1D_IRAs_R1_T19_Plate1,B4,?
EVO1D_IRAs_R1_T19_Plate1-B5,EVO1D_IRAs_R1_T19_Plate1,B5,?
EVO1D_IRAs_R1_T19_Plate1-B6,EVO1D_IRAs_R1_T19_Plate1,B6,?
EVO1D_IRAs_R1_T19_Plate1-B7,EVO1D_IRAs_R1_T19_Plate1,B7,?
EVO1D_IRAs_R1_T19_Plate1-B8,EVO1D_IRAs_R1_T19_Plate1,B8,?
EVO1D_IRAs_R1_T19_Plate1-B9,EVO1D_IRAs_R1_T19_Plate1,B9,?
EVO1D_IRAs_R1_T19_Plate1-B10,EVO1D_IRAs_R1_T19_Plate1,B10,?
EVO1D_IRAs_R1_T19_Plate1-B11,EVO1D_IRAs_R1_T19_Plate1,B11,?
EVO1D_IRAs_R1_T19_Plate1-B12,EVO1D_IRAs_R1_T19_Plate1,B12,?
EVO1D_IRAs_R1_T19_Plate1-C1,EVO1D_IRAs_R1_T19_Plate1,C1,?
EVO1D_IRAs_R1_T19_Plate1-C2,EVO1D_IRAs_R1_T19_Plate1,C2,?
EVO1D_IRAs_R1_T19_Plate1-C3,EVO1D_IRAs_R1_T19_Plate1,C3,?
EVO1D_IRAs_R1_T19_Plate1-C4,EVO1D_IRAs_R1_T19_Plate1,C4,?
EVO1D_IRAs_R1_T19_Plate1-C5,EVO1D_IRAs_R1_T19_Plate1,C5,?
EVO1D_IRAs_R1_T19_Plate1-C6,EVO1D_IRAs_R1_T19_Plate1,C6,?
EVO1D_IRAs_R1_T19_Plate1-C7,EVO1D_IRAs_R1_T19_Plate1,C7,?
EVO1D_IRAs_R1_T19_Plate1-C8,EVO1D_IRAs_R1_T19_Plate1,C8,?
EVO1D_IRAs_R1_T19_Plate1-C9,EVO1D_IRAs_R1_T19_Plate1,C9,?
EVO1D_IRAs_R1_T19_Plate1-C10,EVO1D_IRAs_R1_T19_Plate1,C10,?
EVO1D_IRAs_R1_T19_Plate1-C11,EVO1D_IRAs_R1_T19_Plate1,C11,?
EVO1D_IRAs_R1_T19_Plate1-C12,EVO1D_IRAs_R1_T19_Plate1,C12,?
EVO1D_IRAs_R1_T19_Plate1-D1,EVO1D_IRAs_R1_T19_Plate1,D1,?
EVO1D_IRAs_R1_T19_Plate1-D2,EVO1D_IRAs_R1_T19_Plate1,D2,?
EVO1D_IRAs_R1_T19_Plate1-D3,EVO1D_IRAs_R1_T19_Plate1,D3,?
EVO1D_IRAs_R1_T19_Plate1-D4,EVO1D_IRAs_R1_T19_Plate1,D4,?
EVO1D_IRAs_R1_T19_Plate1-D5,EVO1D_IRAs_R1_T19_Plate1,D5,?
EVO1D_IRAs_R1_T19_Plate1-D6,EVO1D_IRAs_R1_T19_Plate1,D6,?
EVO1D_IRAs_R1_T19_Plate1-D7,EVO1D_IRAs_R1_T19_Plate1,D7,?
EVO1D_IRAs_R1_T19_Plate1-D8,EVO1D_IRAs_R1_T19_Plate1,D8,?
EVO1D_IRAs_R1_T19_Plate1-D9,EVO1D_IRAs_R1_T19_Plate1,D9,?
EVO1D_IRAs_R1_T19_Plate1-D10,EVO1D_IRAs_R1_T19_Plate1,D10,?
EVO1D_IRAs_R1_T19_Plate1-D11,EVO1D_IRAs_R1_T19_Plate1,D11,?
EVO1D_IRAs_R1_T19_Plate1-D12,EVO1D_IRAs_R1_T19_Plate1,D12,?
EVO1D_IRAs_R1_T19_Plate1-E1,EVO1D_IRAs_R1_T19_Plate1,E1,?
EVO1D_IRAs_R1_T19_Plate1-E2,EVO1D_IRAs_R1_T19_Plate1,E2,?
EVO1D_IRAs_R1_T19_Plate1-E3,EVO1D_IRAs_R1_T19_Plate1,E3,?
EVO1D_IRAs_R1_T19_Plate1-E4,EVO1D_IRAs_R1_T19_Plate1,E4,?
EVO1D_IRAs_R1_T19_Plate1-E5,EVO1D_IRAs_R1_T19_Plate1,E5,?
EVO1D_IRAs_R1_T19_Plate1-E6,EVO1D_IRAs_R1_T19_Plate1,E6,?
EVO1D_IRAs_R1_T19_Plate1-E7,EVO1D_IRAs_R1_T19_Plate1,E7,?
