Well,oldplate_name,Rearray_Name
Plate5-A1,Plate1-A4,EVO1D_IRAs_rearray_Plate1-C1
Plate5-A2,Plate1-A7,EVO1D_IRAs_rearray_Plate1-E2
Plate5-A3,Plate1-A12,EVO1D_IRAs_rearray_Plate1-G7
Plate5-A4,Plate1-B1,EVO1D_IRAs_rearray_Plate1-G8
Plate5-A5,Plate1-B2,EVO1D_IRAs_rearray_Plate1-G9
Plate5-A6,Plate1-B4,EVO1D_IRAs_rearray_Plate2-A11
Plate5-A7,Plate1-B5,EVO1D_IRAs_rearray_Plate2-B4
Plate5-A8,Plate1-B6,EVO1D_IRAs_rearray_Plate2-B11
Plate5-A9,Plate1-B7,EVO1D_IRAs_rearray_Plate2-E8
Plate5-A10,Plate1-B8,EVO1D_IRAs_rearray_Plate2-F6
Plate5-A11,Plate1-B9,EVO1D_IRAs_rearray_Plate2-H4
Plate5-A12,Plate1-B11,EVO1D_IRAs_rearray_Plate3-A10
Plate5-B1,Plate1-B12,EVO1D_IRAs_rearray_Plate3-D2
Plate5-B2,Plate1-C1,EVO1D_IRAs_rearray_Plate3-D5
Plate5-B3,Plate1-C3,EVO1D_IRAs_rearray_Plate3-F10
Plate5-B4,Plate1-C7,EVO1D_IRAs_rearray_Plate4-G4
Plate5-B5,Plate1-C8,EVO1D_IRAs_rearray_Plate4-H9
Plate5-B6,Plate1-C9,EVO1D_IRAs_rearray_Plate5-B3
Plate5-B7,Plate1-C10,EVO1D_IRAs_rearray_Plate5-C5
Plate5-B8,Plate1-C11,EVO1D_IRAs_rearray_Plate5-C9
Plate5-B9,Plate1-C12,EVO1D_IRAs_rearray_Plate5-C11
Plate5-B10,Plate1-D5,EVO1D_TCG_rearray_Plate1-G5
Plate5-B11,Plate1-D12,EVO1D_TCG_rearray_Plate2-C4
Plate5-B12,Plate1-E2,EVO1D_TCG_rearray_Plate2-G10
Plate5-C1,Plate1-E6,EVO1D_TCG_rearray_Plate3-C6
Plate5-C2,Plate1-E7,EVO1D_TCG_rearray_Plate3-F4
Plate5-C3,Plate1-E8,EVO1D_TCG_rearray_Plate3-G3
Plate5-C4,Plate1-E9,EVO1D_TCG_rearray_Plate3-G5
Plate5-C5,Plate1-E10,EVO1D_TCG_rearray_Plate3-H8
Plate5-C6,Plate1-E11,EVO1D_TCG_rearray_Plate4-C3
Plate5-C7,Plate1-E12,EVO1D_TCG_rearray_Plate4-F4
Plate5-C8,Plate1-F2,EVO1D_TCG_rearray_Plate5-D7
Plate5-C9,Plate1-F3,EVO1D_TCG_rearray_Plate5-G3
Plate5-C10,Plate1-F4,EVO1D_TCG_rearray_Plate6-C3
Plate5-C11,Plate1-F5,EVO1D_TCG_rearray_Plate6-C5
Plate5-C12,Plate1-F6,EVO1D_TCG_rearray_Plate6-D6
Plate5-D1,Plate1-F9,EVO1D_TCG_rearray_Plate6-H1
Plate5-D2,Plate1-F11,EVO1D_TCG_rearray_Plate7-B5
Plate5-D3,Plate1-F12,EVO1D_TCG_rearray_Plate7-B12
Plate5-D4,Plate1-G1,EVO1D_TCG_rearray_Plate7-D4
Plate5-D5,Plate1-G2,EVO1D_TCG_rearray_Plate7-E10
Plate5-D6,Plate1-G3,EVO2D_IRA1_MIS_rearray_Plate1-A1
Plate5-D7,Plate1-G4,EVO2D_IRA1_MIS_rearray_Plate1-A2
Plate5-D8,Plate1-G5,EVO2D_IRA1_MIS_rearray_Plate1-A3
Plate5-D9,Plate1-G6,EVO2D_IRA1_MIS_rearray_Plate1-A4
Plate5-D10,Plate1-G7,EVO2D_IRA1_MIS_rearray_Plate1-A6
Plate5-D11,Plate1-G10,EVO2D_IRA1_MIS_rearray_Plate1-A11
Plate5-D12,Plate1-G11,EVO2D_IRA1_MIS_rearray_Plate1-A12
Plate5-E1,Plate1-G12,EVO2D_IRA1_MIS_rearray_Plate1-B1
Plate5-E2,Plate1-H1,EVO2D_IRA1_MIS_rearray_Plate1-B2
Plate5-E3,Plate1-H2,EVO2D_IRA1_MIS_rearray_Plate1-B5
Plate5-E4,Plate1-H3,EVO2D_IRA1_MIS_rearray_Plate1-B7
Plate5-E5,Plate1-H4,EVO2D_IRA1_MIS_rearray_Plate1-B8
Plate5-E6,Plate1-H5,EVO2D_IRA1_MIS_rearray_Plate1-B11
Plate5-E7,Plate1-H6,EVO2D_IRA1_MIS_rearray_Plate1-B12
Plate5-E8,Plate1-H7,EVO2D_IRA1_MIS_rearray_Plate1-C1
Plate5-E9,Plate1-H8,EVO2D_IRA1_MIS_rearray_Plate1-C2
