well,flourescence
Plate1-A1,6.025632752622148
Plate1-A2,7.113282828568965
Plate1-A3,5.223544137791563
Plate1-A4,5.270675641082591
Plate1-A5,6.200723088377508
Plate1-A6,5.899166773203233
Plate1-A7,0.788917534019379
Plate1-A8,6.289867741660992
Plate1-A9,7.516992944993931
Plate1-A10,6.991935202448624
Plate1-A11,7.416331996788657
Plate1-A12,9.158064971348983
Plate1-B1,7.8326247317392825
Plate1-B2,6.727700213409779
Plate1-B3,4.897675644449064
Plate1-B4,5.7362325265319845
Plate1-B5,5.306930643614152
Plate1-B6,5.295201083971588
Plate1-B7,5.090680216749432
Plate1-B8,5.13781172004046
Plate1-B9,5.125442366235575
Plate1-B10,7.09984715116021
Plate1-B11,5.868456653411793
Plate1-B12,7.03672079381114
Plate1-C1,5.914308568378178
Plate1-C2,6.09110502189973
Plate1-C3,5.137385190598913
Plate1-C4,6.157643614781183
Plate1-C5,5.7524406453107995
Plate1-C6,5.441500682422474
Plate1-C7,5.529792276822863
Plate1-C8,5.084069010405441
Plate1-C9,5.273234817731878
Plate1-C10,5.666921492280471
Plate1-C11,6.3442502454583325
Plate1-C12,6.345529833782976
Plate1-D1,6.593769968763779
Plate1-D2,5.904711655943354
Plate1-D3,6.409722514735916
Plate1-D4,7.292211929298255
Plate1-D5,0.7799604157468758
Plate1-D6,7.0032382326496405
Plate1-D7,6.703814564683104
Plate1-D8,6.2836830647585495
Plate1-D9,7.357897463296612
Plate1-D10,7.098780827556341
Plate1-D11,7.072336002180379
Plate1-D12,0.7910501812271179
Plate1-E1,5.876560712801201
Plate1-E2,6.724501242598171
Plate1-E3,5.815353737939096
Plate1-E4,5.8631250353924464
Plate1-E5,6.405457220320438
Plate1-E6,5.604861458535271
Plate1-E7,6.858644751964945
Plate1-E8,5.837320004178806
Plate1-E9,6.515928345681311
Plate1-E10,5.92091977472217
Plate1-E11,6.5485578479597155
Plate1-E12,5.038217095439055
Plate1-F1,5.630026695586589
Plate1-F2,5.914735097819727
Plate1-F3,6.634716795152365
Plate1-F4,6.129066142197482
Plate1-F5,6.35725939342554
Plate1-F6,5.890849449093051
Plate1-F7,5.927957510507707
Plate1-F8,5.090466952028658
Plate1-F9,7.474979795001476
Plate1-F10,6.593343439322232
Plate1-F11,6.705947211890844
Plate1-F12,6.619148470535872
Plate1-G1,6.976793407273679
Plate1-G2,6.67502382737863
Plate1-G3,7.3171639016288
Plate1-G4,5.741137615109784
Plate1-G5,6.371761394438164
Plate1-G6,6.764168480662114
Plate1-G7,6.471356019039569
Plate1-G8,7.562844859960316
Plate1-G9,6.695497240572923
Plate1-G10,7.576920331531393
Plate1-G11,7.460477793988852
Plate1-G12,6.831133602985115
Plate1-H1,7.628956923400222
Plate1-H2,6.008145045518688
Plate1-H3,7.209465217637987
Plate1-H4,7.573294831278237
Plate1-H5,6.388822572100075
Plate1-H6,8.613813403934026
Plate1-H7,5.577776838996987
Plate1-H8,6.354913481497027
Plate1-H9,7.953972357859623
Plate1-H10,8.23206955374877
Plate1-H11,7.671609867554999
Plate1-H12,7.410147319886215
Plate2-A1,6.336359450789699
Plate2-A2,6.72663388980591
Plate2-A3,6.022007252368991
Plate2-A4,7.544504093973763
Plate2-A5,6.01646236962887
Plate2-A6,6.703388035241557
Plate2-A7,9.005793960716428
Plate2-A8,7.106245092783427
Plate2-A9,6.662227944132197
Plate2-A10,5.550905484179477
Plate2-A11,6.934780257281223
Plate2-A12,6.3408380099259505
Plate2-B1,4.572873474710437
Plate2-B2,4.78379228355581
Plate2-B3,4.734741397777816
Plate2-B4,5.321645909347549
Plate2-B5,7.225886601137577
Plate2-B6,5.141223955572842
Plate2-B7,5.697631612071911
Plate2-B8,4.978289708901594
Plate2-B9,11.743259916570029
Plate2-B10,4.369205666371376
Plate2-B11,13.18834166453388
Plate2-B12,13.306916849284159
Plate2-C1,5.289656201231467
Plate2-C2,4.755428075692882
Plate2-C3,4.320368045314155
Plate2-C4,4.422308581844073
Plate2-C5,5.5225412763165505
Plate2-C6,4.580551004658297
Plate2-C7,4.8132228150226055
Plate2-C8,6.041627606680189
Plate2-C9,5.931156481319316
Plate2-C10,7.1420735658734396
Plate2-C11,5.090893481470205
Plate2-C12,4.934143911701399
Plate2-D1,4.892770555871265
Plate2-D2,6.081508109464905
Plate2-D3,4.759906634829134
Plate2-D4,4.411005551643057
Plate2-D5,5.816420061542965
Plate2-D6,5.449604741811881
Plate2-D7,6.047599018861858
Plate2-D8,4.662657922156242
Plate2-D9,6.900657901957401
Plate2-D10,4.4436350539214615
Plate2-D11,5.065728244418887
Plate2-D12,6.176837439650832
Plate2-E1,5.557516690523467
Plate2-E2,5.247856315959785
Plate2-E3,5.2917888484392055
Plate2-E4,5.067434362185078
Plate2-E5,5.613392047366226
Plate2-E6,5.922839157209134
