file_prefix,sample
18032FL-96-07-05,EVO3D_IRA1_NON_rearray_Plate1-D5
18032FL-96-08-01,EVO3D_IRA1_NON_rearray_Plate1-D7
18032FL-96-08-05,EVO3D_IRA1_NON_rearray_Plate1-E1
18032FL-96-09-01,EVO3D_IRA1_NON_rearray_Plate1-E2
18032FL-96-09-05,EVO3D_IRA1_NON_rearray_Plate1-E4
18032FL-96-10-01,EVO3D_IRA1_NON_rearray_Plate1-E8
18032FL-96-07-02,EVO3D_IRA1_NON_rearray_Plate2-B10
18032FL-96-07-06,EVO3D_IRA1_NON_rearray_Plate2-B11
18032FL-96-08-02,EVO3D_IRA1_NON_rearray_Plate2-B12
18032FL-96-08-06,EVO3D_IRA1_NON_rearray_Plate2-C3
18032FL-96-09-02,EVO3D_IRA1_NON_rearray_Plate2-C4
18032FL-96-09-06,EVO3D_IRA1_NON_rearray_Plate2-C10
18032FL-96-10-02,EVO3D_IRA1_NON_rearray_Plate2-C11
18032FL-111Q2-02-01,EvolvingFront_WGS_Plate3_A01
18032FL-111Q2-02-09,EvolvingFront_WGS_Plate3_A02
18032FL-111Q2-02-17,EvolvingFront_WGS_Plate3_A03
18032FL-111Q2-02-25,EvolvingFront_WGS_Plate3_A04
18032FL-111Q2-02-33,EvolvingFront_WGS_Plate3_A05
18032FL-111Q2-02-41,EvolvingFront_WGS_Plate3_A06
18032FL-111Q2-02-49,EvolvingFront_WGS_Plate3_A07
18032FL-111Q2-02-57,EvolvingFront_WGS_Plate3_A08
18032FL-111Q2-02-65,EvolvingFront_WGS_Plate3_A09
18032FL-111Q2-02-73,EvolvingFront_WGS_Plate3_A10
18032FL-111Q2-02-81,EvolvingFront_WGS_Plate3_A11
18032FL-111Q2-02-89,EvolvingFront_WGS_Plate3_A12
18032FL-111Q2-02-02,EvolvingFront_WGS_Plate3_B01
18032FL-111Q2-02-10,EvolvingFront_WGS_Plate3_B02
18032FL-111Q2-02-18,EvolvingFront_WGS_Plate3_B03
18032FL-111Q2-02-26,EvolvingFront_WGS_Plate3_B04
18032FL-111Q2-02-34,EvolvingFront_WGS_Plate3_B05
18032FL-111Q2-02-42,EvolvingFront_WGS_Plate3_B06
18032FL-111Q2-02-50,EvolvingFront_WGS_Plate3_B07
18032FL-111Q2-02-58,EvolvingFront_WGS_Plate3_B08
18032FL-111Q2-02-66,EvolvingFront_WGS_Plate3_B09
18032FL-111Q2-02-74,EvolvingFront_WGS_Plate3_B10
18032FL-111Q2-02-82,EvolvingFront_WGS_Plate3_B11
18032FL-111Q2-02-90,EvolvingFront_WGS_Plate3_B12
18032FL-111Q2-02-03,EvolvingFront_WGS_Plate3_C01
18032FL-111Q2-02-11,EvolvingFront_WGS_Plate3_C02
18032FL-111Q2-02-19,EvolvingFront_WGS_Plate3_C03
18032FL-111Q2-02-27,EvolvingFront_WGS_Plate3_C04
18032FL-111Q2-02-35,EvolvingFront_WGS_Plate3_C05
18032FL-111Q2-02-43,EvolvingFront_WGS_Plate3_C06
18032FL-111Q2-02-51,EvolvingFront_WGS_Plate3_C07
18032FL-111Q2-02-59,EvolvingFront_WGS_Plate3_C08
18032FL-111Q2-02-67,EvolvingFront_WGS_Plate3_C09
18032FL-111Q2-02-75,EvolvingFront_WGS_Plate3_C10
18032FL-111Q2-02-83,EvolvingFront_WGS_Plate3_C11
18032FL-111Q2-02-91,EvolvingFront_WGS_Plate3_C12
18032FL-111Q2-02-04,EvolvingFront_WGS_Plate3_D01
18032FL-111Q2-02-12,EvolvingFront_WGS_Plate3_D02
18032FL-111Q2-02-20,EvolvingFront_WGS_Plate3_D03
18032FL-111Q2-02-28,EvolvingFront_WGS_Plate3_D04
18032FL-111Q2-02-36,EvolvingFront_WGS_Plate3_D05
18032FL-111Q2-02-44,EvolvingFront_WGS_Plate3_D06
18032FL-111Q2-02-52,EvolvingFront_WGS_Plate3_D07
18032FL-111Q2-02-60,EvolvingFront_WGS_Plate3_D08
