geneSys,gene,geneDescr,essential,Eno2_log2fc,Fas1_log2fc,Fas2_log2fc,Htb2_log2fc,Rnr2_log2fc,Rpl9A_log2fc,Ssa1_log2fc,Tdh1_log2fc,Tdh2_log2fc,Tdh3_log2fc,Yhb1_log2fc,Eno2_q,Fas1_q,Fas2_q,Htb2_q,Rnr2_q,Rpl9A_q,Ssa1_q,Tdh1_q,Tdh2_q,Tdh3_q,Yhb1_q,FDR0.05_count
YAL067C,SEO1,Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide,FALSE,0.4128042516811435,-0.15573045588515877,-0.1918170379952742,0.7613724001369014,-0.02070723598855421,0.41299981426647625,0.8365352635747284,-0.4597877185111859,0.20694471373764362,-0.1300434727693172,-0.6274334294856638,0.6925441025885691,0.8992092772273634,0.9886008371553309,0.4824638168943545,0.9144459166621784,0.5821571330373438,0.15720968871786772,0.6707358857950985,0.9408887220342038,0.9010919300405122,0.44618291052800824,0
YAL065C,YAL065C,Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins,FALSE,-0.1081864123090202,0.004808978275943915,-0.16464810333781274,0.07798247098229542,-0.0332206337389796,-0.05845711188871137,0.05583177416693491,-0.15769088364665726,0.015088400429363493,-0.17883301102920932,0.06079473297554897,0.9033410533360744,0.9060579211510064,0.9863048109504592,0.7790504159489859,0.9136999700733112,0.6569777530170308,0.8942855008004571,0.7790487072606284,0.9617528773385083,0.9010919300405122,0.9360864744255641,0
YAL063C,FLO9,Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation,FALSE,-0.0063282802661838436,-0.047320902291691995,0.7794649779969198,0.4802204743173601,0.38073339679977253,0.17595508719997308,-0.18544918734440877,0.3781467507771372,0.014212480911483591,-0.4511919071277629,0.38324147298441225,0.9422783085781977,0.8992092772273634,0.5729094571644819,0.4097515919190269,0.8750569206536146,0.6115704381389686,0.8752121459379424,0.741932761577854,0.9625017536238405,0.8593330363945307,0.6275067964837278,0
YAL062W,GDH3,"NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication",FALSE,0.4285307916581119,0.698933993950319,0.4189228370521401,-0.4479952000935366,0.18198585149466265,-0.5942369260374999,-0.4261657135925454,-0.2292821804362729,-0.1210172188295443,0.20597533248144678,0.13755108430145638,0.05656772213151851,0.7871515499327735,0.767410757034611,0.7410826335761304,0.8919209382713345,0.4311883056676173,0.8102841437537655,0.8099040544520334,0.9370878558708492,0.8885897046380453,0.8739496709609068,0
YAL061W,BDH2,Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3,FALSE,0.1298025824614672,-0.17834324590387518,0.24700035973766238,-0.016884955997653703,0.027165477019134923,0.38137657747696385,0.04596569460066532,-0.1978232743555301,0.1011199176611773,0.08905479234791121,0.06418054943924209,0.9100274718249903,0.887451370963737,0.9835550970677007,0.8497651630830051,0.9136999700733112,0.3241532894734205,0.8983428171002298,0.779819639997747,0.9445493199674018,0.9010919300405122,0.9396056337662244,0
YAL060W,BDH1,"NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source",FALSE,0.23337225845456191,-0.11238369358314985,-0.14791779812170391,0.2395869281138288,0.13080172218622949,0.28475571502706615,-0.12242949868199825,-0.27228017399161236,-0.6047938307905806,0.20495784142939302,-0.13940410085676608,0.836857432254724,0.89671937872651,0.9886008371553309,0.7079075333260123,0.899374302359306,0.43259741202015684,0.8983428171002298,0.8046037129879886,0.7793047356016466,0.9010919300405122,0.9217822573223307,0
YAL058W,CNE1,"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast",FALSE,-0.18533447788013963,0.19201161236104025,0.27281055474967625,-0.46652174316300554,0.3101043836982145,0.1447318292127691,-0.31500175336314584,0.28494804043068883,-0.13179543832099042,-0.4035863164967434,-0.5317801251553458,0.8778964849175108,0.89671937872651,0.9835550970677007,0.5388834689042484,0.8142052832359968,0.6962721101992105,0.8557980943550242,0.7880467753796091,0.9370878558708492,0.7939668601092694,0.31947566115758824,0
YAL056W,GPB2,"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication",FALSE,0.13145191549294022,-0.13132158940772654,0.29575840317583424,0.23483663292470075,-0.1258314074253689,0.368031587323215,-0.1833883047884634,-0.5911737318191433,0.3842306344017855,-0.35240820448132043,-0.18396479653872966,0.8778964849175108,0.8992092772273634,0.9885979994596145,0.5789989137922189,0.8977540614829878,0.21764980039104112,0.9080761269083667,0.4282126875885842,0.7793047356016466,0.8749049965807797,0.9250724133672616,0
YAL054C,ACS1,"Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions",FALSE,0.3627913204081275,-0.20240907793486834,0.24667577839896854,-0.2955300865580142,0.32287159963408,-0.6632385352028155,0.5249636529168301,-0.5851846785789383,0.4522056557666844,0.2801306974952379,-0.48479968674747703,0.7836980821187881,0.8786250204748896,0.9885979994596145,0.6512990393117702,0.8448480319909047,0.03161307766378437,0.5500719398342153,0.6745202801676417,0.7383647858185707,0.7878856342048491,0.44653114237442854,1
YAL053W,FLC2,"Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication",FALSE,0.43139011085823303,0.35329776154151155,0.3378996742227338,0.4422240814679861,-0.20631171824518993,0.25915518811187604,-0.34750118881888686,0.28489630550945255,0.45608880743365354,0.3923613458996667,0.26417499974866016,0.5246183553691258,0.7981444234265919,0.9724482242231866,0.3591906229356296,0.8758649636803751,0.5597305670286348,0.8416861982066953,0.7911683533824428,0.5921800936542142,0.7878856342048491,0.7647234316283723,0
YAL051W,OAF1,"Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication",FALSE,0.2666354421582857,0.5019511101739881,-0.24297043159780138,-0.46273327877890896,-0.3937235530168206,0.6329783528640103,0.31109110706225995,0.4407645482571199,0.3708201494776236,-0.09051858785650374,0.28266046575483633,0.867317866017112,0.34006026641636106,0.9863048109504592,0.6813801064224932,0.8361223451303171,0.47401249822643365,0.884154959438736,0.7482630084688913,0.8494603581988337,0.9010919300405122,0.7533611850525578,0
YAL049C,AIM2,Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor,FALSE,-0.45665746767761445,-0.21459312296774988,-0.2926954593218037,0.8815582374127123,-0.06722186480359225,0.14786661088319475,-0.1078825085804927,-0.30911576278481234,0.34450966324283155,0.2827565705484819,0.12718024620253576,0.3671689862399003,0.8902196392982515,0.935051170567615,0.10776272083739172,0.899374302359306,0.722399645130278,0.9051857349305376,0.7565791749441453,0.7986911557322607,0.900950062914276,0.8981323646314735,0
YAL048C,GEM1,"Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases",FALSE,-0.29662241955220575,-0.4729731639634641,0.2844600821385284,-0.21290106832526856,0.5153242321253166,0.20107780854761298,-1.0379205445111834,0.5484812735338881,0.10481191412873134,0.33883013901100095,-0.2729990765633502,0.8778964849175108,0.8508498332296254,0.9835550970677007,0.6276905209872634,0.8360482126622801,0.6502669450604729,0.15734286070865333,0.5345960831144634,0.932346260433988,0.8465973054398374,0.8036445070081235,0
YAL047C,SPC72,"Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase",FALSE,0.08462452693842148,-0.2790703789992492,0.23741158690299408,-0.6092021356089764,0.1861152986440214,0.6617190860800646,0.43283747791764693,-0.6490083126543719,-0.3694697133401229,-0.2605983500780621,-0.3343248814469858,0.9271813378468373,0.8605372545653733,0.9885979994596145,0.31489177400115137,0.899374302359306,0.20514547997603474,0.7693533346437312,0.7283378999595564,0.8990334992282856,0.9010919300405122,0.8362547656599348,0
YAL044C,GCV3,"H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF",FALSE,-0.2703203895169529,-0.17007008475928176,-0.14982022301902448,-0.21738161069611378,0.2726123854645277,0.3447032376281084,0.22471132590748635,-0.3344357349797197,0.1851333361167802,0.176881822422814,-0.06243745895149231,0.8252293623000827,0.89671937872651,0.9886008371553309,0.7668402526737638,0.8919209382713345,0.36723379018300306,0.8939585038427454,0.7986917215745241,0.9303022054711864,0.9010919300405122,0.9391750362057946,0
YAL043C,PTA1,"Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII",TRUE,-0.2549355772494367,0.26261779793138873,0.15588181441873067,0.4280074789911995,0.6748876704520077,-0.2452546455270772,-0.6358790712519957,-0.32922962848146387,0.3540666700697801,-0.5590811494361555,-0.2548261187474609,0.8660652628208664,0.89671937872651,0.9886008371553309,0.41480878373250846,0.5296750349726299,0.5997580962928162,0.8031769390801975,0.788512725733083,0.8143267301685118,0.7878856342048491,0.8739496709609068,0
YAL042W,ERV46,Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport,FALSE,-0.20460276677575487,-0.30122710211123555,-0.3022619732572726,-1.1556362928861608,0.24679016763012032,-0.2749433286317037,0.4198635261185119,-0.2097818609413059,-0.4254388416979884,0.4289458177736134,-0.5009677041285779,0.8222688549488211,0.8508498332296254,0.9524337694546506,0.10368520583467852,0.8073397717515692,0.5620437878455113,0.8155181200861408,0.7986917215745241,0.8383605938706036,0.885442991850608,0.2613819379901535,0
YAL041W,CDC24,"Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42",TRUE,0.262453784006954,-0.7401389468941851,0.07618509811173552,-0.12204385841725476,-0.0497572845046672,-0.08250489224809361,0.25522528242858017,-0.3273626388370675,0.3305073228252566,0.23928728902916366,0.4775419076371044,0.5487805961195372,0.16543394716370802,0.9900021111221705,0.7981203453708319,0.899374302359306,0.7184636954827438,0.7676517083857637,0.7110822825974306,0.6017377812314839,0.885442991850608,0.47497809647048134,0
YAL039C,CYC3,"Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant",FALSE,0.22376929041318017,0.31051798229515143,-0.2793076749066132,0.4908949320438409,-0.371440607156513,-0.25808328526550495,0.3280955946240893,-0.2799027691324372,-0.3006352021982943,0.17624299581084218,0.17249233225295393,0.8509294418391938,0.8786250204748896,0.9835550970677007,0.4553224943988138,0.8279620713283152,0.583661916057451,0.8956108714166559,0.8230924887242993,0.8946297196657471,0.9010919300405122,0.8920196587082345,0
YAL038W,CDC19,"Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication",TRUE,0.8969868179041977,-0.8841845691096661,-0.808580516039342,0.6561091970486984,0.5052265946612126,0.48184680480021513,1.433771536027335,3.109645909114145,2.3499568644608475,0.8485447833755472,0.6353458917051199,0.0014185967466907893,0.47001984597422275,0.627111232846736,0.2755725167588246,0.8077627842087712,0.0230471575930644,4.7696230856843387e-4,4.412043822262044e-41,4.6016915814513085e-38,0.0086950522607119,0.4311879241722492,6
YAL037W,YAL037W,"Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication",FALSE,-0.14037201214998551,-0.4452135368450099,-0.14021604788680112,-0.06674152933173681,-0.5707873235282355,0.009281880015731757,-0.21241290621106024,-0.25444334660439466,-0.3151698243837762,-0.0723123868389621,0.32746346889668615,0.9185851713818185,0.673555145870902,0.9900021111221705,0.8228450760376215,0.657857090492676,0.7240799188526855,0.8526566133894109,0.7598926540268978,0.9093052321394831,0.9010919300405122,0.7542521989384198,0
YAL036C,RBG1,"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid",FALSE,0.24243201461151653,-0.46974555171688726,0.2652511271913223,-0.5228135487168452,0.05899972115827405,0.22162352047363498,-0.49105130184217055,0.6983166259261293,-0.40988258855502696,-0.3375191592124722,-0.5396755451467097,0.8528322238030946,0.6836510025962066,0.9863048109504592,0.2613911908411348,0.899374302359306,0.6572922092421795,0.4775923111912301,0.46354727172334786,0.7905425244151023,0.8778299233506077,0.5640736583177989,0
YAL035W,FUN12,Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2,FALSE,-1.4344201504311034,-1.3043669961427389,-0.7303440712693356,-0.46870319090820134,-1.1526152341438987,-0.794108779448097,-1.445859380456097,0.9926106748610194,-2.0375390102273623,-0.945853854803209,-1.1550081980428564,4.614585945658003e-12,2.576471564340311e-6,0.12053704119001554,0.33092664457183557,4.6541478196059926e-5,0.010436654509747009,4.848179953852075e-6,0.3305201699539765,8.36111828798444e-12,0.013580643204364085,2.454126577278842e-4,8
YAL034W-A,MTW1,Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND),TRUE,0.033927214229137664,0.15994887229519397,-0.1863545284047004,0.16515993639967205,-0.04196808382269097,0.309043147237123,0.07733243696979383,0.11596317534759189,0.013071234906743398,0.18205902312879504,-0.03745341391809979,0.9331079058336442,0.8532310041460445,0.9865732376289147,0.6641079431302308,0.9133921616550172,0.28268733127522605,0.8939585038427454,0.7921243419442733,0.9617645789110248,0.9010919300405122,0.9401562734111644,0
YAL034C,FUN19,"Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication",FALSE,-0.3705967010952459,0.14080276064017944,-0.006559351923085545,-0.25785981337039454,0.0831706227257173,-0.00526132192114889,-0.0019742972176867873,-0.1784872829771929,0.4384841685032228,0.0917818113143967,0.0228257531098572,0.8778964849175108,0.89671937872651,0.9978787921200588,0.8053181360503501,0.899374302359306,0.7310696329951608,0.9114260826849512,0.8286582606398837,0.9066848184441951,0.9010919300405122,0.9517369545087122,0
YAL033W,POP5,"Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs",TRUE,-0.14604585829872133,0.16422491640104767,0.48946101864264774,-0.461594446740581,-0.5316630432746591,-0.3436878481279793,-0.3050633245184056,-0.06197691147883355,-0.4012805488141986,-0.09638428404681888,0.13775520601586802,0.9114551460681516,0.89671937872651,0.935051170567615,0.4261348572354638,0.8694724304851071,0.5997580962928162,0.886412877475401,0.8347780331819515,0.8844849753558557,0.9010919300405122,0.9244677624248576,0
YAL032C,PRP45,Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene,TRUE,-0.19021417290967918,0.36275240801443065,0.4455485819421645,0.2745198393433564,-0.23928778836670533,0.353887969204309,0.24831801251395785,0.4127598203411023,0.4237796151609398,-0.09046509145992046,0.19488292643040803,0.8544591026801771,0.8108878945083293,0.915761703077645,0.691311075882536,0.8662386742666273,0.44621579039569004,0.861857506364602,0.7463143511771172,0.8031604960636555,0.9010919300405122,0.8739496709609068,0
YAL031C,GIP4,Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate,FALSE,0.272550156839234,-0.16566899060925905,0.1878455578137384,-0.015885913219615962,0.11830997963194577,0.05532682211680226,0.024068773878212987,0.03252350331768565,-0.09055512432083343,0.3106431884386038,-0.37154182112289513,0.8433543592928971,0.89671937872651,0.9886008371553309,0.8497651630830051,0.899374302359306,0.6905901894434607,0.9051857349305376,0.8511161080384972,0.9516691526161527,0.9010919300405122,0.5293247767020576,0
YAL029C,MYO4,"Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication",FALSE,0.6881136385644545,0.31646517350950376,0.4547494400938548,0.293195400463361,-0.2895526164524822,0.3715794982687597,0.34169805009458315,-0.3919711051465771,0.35437071664985526,0.6111111356687194,0.24565743636209625,0.14338674758710415,0.8914636277677069,0.9319028102224349,0.5349760966567503,0.8942504986338043,0.5263464468525528,0.8962488307149951,0.7901160841933517,0.8336066354922116,0.5584608399017843,0.7213602241843952,0
YAL026C-A,YAL026C-A,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2",FALSE,-0.15946232635674898,-0.09724131277542253,-0.21028663083453694,-0.08851933632944531,0.2018906513290053,-0.15637529093768485,-0.12584491628964425,0.06236145000840345,0.1845492708587413,0.05544785097701708,0.050058141452869284,0.8433543592928971,0.89671937872651,0.9835550970677007,0.7790530358307043,0.8741550866676779,0.5138629263701491,0.8577054517498273,0.8254545451956208,0.9243934119482539,0.9010919300405122,0.9400097397897488,0
YAL026C,DRS2,"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease",FALSE,0.34698818094619754,-0.18502532579832948,-0.18782578151681423,-0.49313087345689055,-0.22365535897893238,-0.3690777528406047,-0.32052369929294916,-0.29469006268735076,-0.4770604874899096,0.1817929502510163,-0.36194306878134797,0.8511959182088712,0.9003483228857104,0.9835550970677007,0.6932822551730287,0.8750569206536146,0.40892990871313506,0.7546105467118301,0.7998176065948693,0.6662430557011657,0.9010919300405122,0.28765710934849675,0
YAL025C,MAK16,Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus,TRUE,-0.40661579885051374,0.6190768837908519,-0.16471653940193753,-0.53109202778042,-0.743973496642853,-0.8258101669920976,-1.2825671523088682,-0.5255929717751535,-1.0282405680098705,-0.371412180586406,-0.723793063639839,0.19502839686547954,0.22155602781401462,0.9863048109504592,0.5347927435037471,0.037790015989659406,0.0027585431946606323,2.594695721375395e-4,0.683732490398426,4.99177886725545e-4,0.8550906719929702,0.03153327130247871,5
YAL024C,LTE1,Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures,FALSE,0.08195563999572324,-0.4770045209253698,-0.6939052191030332,0.5343594620281623,-0.36818285369551,-0.7464004153049834,0.4641843608357638,0.8203470031494068,-0.2548031806599656,-0.14484862428993317,0.3550357327468399,0.9313496232087872,0.89671937872651,0.8702742691479743,0.6202806982804878,0.8694724304851071,0.5375297661142162,0.8815068768466359,0.7590557201196636,0.8975935760835313,0.9010919300405122,0.8739496709609068,0
YAL023C,PMT2,"Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication",FALSE,0.1865240843465194,-0.38296656161769344,0.22125771648545706,0.37263311609990335,0.43936608866838234,0.42181627419209183,0.6543545389491763,-0.8363994680805293,-0.3024557551039226,0.33098877452552644,-0.3334899423122318,0.8511959182088712,0.6638972857397434,0.9814604390221691,0.3363943908375695,0.6925229656066247,0.28577669839914366,0.8141458751393174,0.4155771634886963,0.8861876799446999,0.7383586438938456,0.7224083795664004,0
YAL022C,FUN26,"High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member",FALSE,-0.06068530818418286,0.5096027442433743,0.05063111599698611,0.279181088141041,-0.7406509102229997,0.28588513958549,0.5723670704979863,-0.06150508190026956,-0.41705534679868195,0.2650532473094852,0.5659960566544171,0.9288968152211299,0.7853281232289818,0.9957617939713213,0.5712964048913118,0.6937270519509525,0.5390394326216134,0.6262618492772786,0.8558011033722074,0.8481111103186539,0.9010919300405122,0.8210651499815329,0
